"","study_area","subsite","soil_moisture","lat","long","elevation","ecosystem","exstart","year","treatment","plot","spp","woody","functional_group","genus","species","phenophase","DOY","snowfree_date","data_provider","data_provider_email","plot.n","year_type"
"95","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE09","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"96","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE09","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"97","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE10","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"98","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE10","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"99","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE11","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"100","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE11","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"101","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE11","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"102","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE11","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"103","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE12","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"104","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE12","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"105","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE13","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"106","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE13","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"107","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE14","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"108","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE14","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"109","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE15","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"110","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE15","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"111","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE15","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"112","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE16","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"113","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE16","LEDPAL","woody","evergreen shrub","Ledum","palustre","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"114","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE16","VACVIT","woody","deciduous shrub","Vaccinium","vitis-idaea","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"115","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE17","CASTET","woody","evergreen shrub","Cassiope","tetragona","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
"116","Atqasuk","Dry Heath","dry",70.45,-157.4,22,"Low arctic",1996,1998,"OTC","ADE17","DIALAP","woody","evergreen shrub","Diapensia","lapponica","green",155,153,"Robert Hollister","hollistr[at]gvsu.edu",167,"early"
