"","ID","CH_PrecipMeanSummer","CH_TempMeanSummer","longitude","latitude","biomass","gridcell"
"32",32,82,9.9,-142.245329926,69.823850121,94.1228790283203,"_69.5_-142"
"33",33,83,10.3,-146.206385926,69.706670121,188.544723510742,"_69.5_-146"
"34",34,95,10.3,-141.654365926,69.572750121,260.461700439453,"_69.5_-141.5"
"35",35,103,10,-141.734225926,69.564380121,388.401184082031,"_69.5_-141.5"
"36",36,90,10.1,-142.620671926,69.740150121,148.2958984375,"_69.5_-142.5"
"37",37,77,9.6,-144.225857926,69.932660121,231.554992675781,"_69.5_-144"
"38",38,79,9.7,-144.233843926,69.907550121,234.585662841797,"_69.5_-144"
"39",39,91,10.3,-141.917903926,69.689930121,110.656982421875,"_69.5_-141.5"
"40",40,91,10.2,-143.834543926,69.530900121,328.744384765625,"_69.5_-143.5"
"41",41,71,9.2,-143.906417926,69.991250121,204.98014831543,"_69.5_-143.5"
"42",42,90,10,-143.027957926,69.740150121,208.062576293945,"_69.5_-143"
"43",43,89,10.2,-143.658851926,69.773630121,188.476501464844,"_69.5_-143.5"
"44",44,94,10,-144.577241926,69.715040121,314.570220947266,"_69.5_-144.5"
"45",45,93,9.4,-145.072373926,69.723410121,323.627014160156,"_69.5_-145"
"46",46,108,9.2,-145.711253926,69.648080121,312.154266357422,"_69.5_-145.5"
"47",47,93,10.5,-142.077623926,69.664820121,185.121627807617,"_69.5_-142"
"48",48,90,9.9,-143.011985926,69.765260121,293.311767578125,"_69.5_-143"
"49",49,80,9.7,-142.245329926,69.848960121,191.976287841797,"_69.5_-142"
"50",50,85,9.7,-145.008485926,69.848960121,375.597137451172,"_69.5_-145"
"51",51,70,9.3,-146.142497926,69.966140121,138.77734375,"_69.5_-146"
"52",52,96,10.5,-144.034193926,69.656450121,333.595489501953,"_69.5_-144"
"53",53,80,9.9,-145.335911926,69.840590121,130.840606689453,"_69.5_-145"
"54",54,96,10.1,-142.588727926,69.581120121,404.906311035156,"_69.5_-142.5"
"55",55,73,9.8,-145.136261926,69.907550121,162.184951782227,"_69.5_-145"
"56",56,73,9.8,-144.681059926,69.907550121,286.997741699219,"_69.5_-144.5"
"57",57,91,9.6,-144.944597926,69.756890121,355.571197509766,"_69.5_-144.5"
"58",58,98,10.2,-143.011985926,69.631340121,339.73828125,"_69.5_-143"
"59",59,74,9.4,-144.201899926,69.966140121,257.544372558594,"_69.5_-144"
"60",60,69,9,-143.722739926,70.007990121,233.650299072266,"_70_-143.5"
"61",61,88,10.7,-143.594963926,69.681560121,169.240478515625,"_69.5_-143.5"
"62",62,90,10.5,-144.106067926,69.740150121,232.399078369141,"_69.5_-144"
"63",63,84,9.2,-143.091845926,69.882440121,150.469848632812,"_69.5_-143"
"64",64,91,10,-141.590477926,69.648080121,153.065460205078,"_69.5_-141.5"
"65",65,96,10.5,-144.122039926,69.706670121,361.16796875,"_69.5_-144"
"66",66,82,9.8,-141.917903926,69.798740121,115.988182067871,"_69.5_-141.5"
"67",67,88,10,-141.774155926,69.706670121,98.749382019043,"_69.5_-141.5"
"68",68,65,8.9,-146.094581926,70.033100121,98.4983596801758,"_70_-146"
"69",69,84,10.1,-144.457451926,69.840590121,293.165435791016,"_69.5_-144"
"70",70,109,8.4,-144.904667926,69.380240121,230.921798706055,"_69_-144.5"
"71",71,90,10,-142.812335926,69.748520121,178.414108276367,"_69.5_-142.5"
"72",72,88,10.4,-144.441479926,69.748520121,373.529937744141,"_69.5_-144"
"73",73,98,10.4,-142.796363926,69.597860121,407.435791015625,"_69.5_-142.5"
"74",74,69,8.8,-143.578991926,70.016360121,152.717956542969,"_70_-143.5"
"75",75,87,10.3,-143.547047926,69.765260121,268.882141113281,"_69.5_-143.5"
"76",76,90,10.7,-143.626907926,69.639710121,266.912689208984,"_69.5_-143.5"
"77",77,94,10.2,-144.369605926,69.606230121,362.426208496094,"_69.5_-144"
"78",78,92,10.5,-143.898431926,69.740150121,444.637908935547,"_69.5_-143.5"
"79",79,87,9.9,-146.469923926,69.765260121,131.164260864258,"_69.5_-146"
"80",80,84,9.3,-143.019971926,69.882440121,208.236785888672,"_69.5_-143"
"81",81,80,9.6,-145.783127926,69.874070121,317.535034179688,"_69.5_-145.5"
"82",82,85,10,-142.013735926,69.782000121,90.9969024658203,"_69.5_-142"
"83",83,74,9.8,-145.016471926,69.949400121,129.881866455078,"_69.5_-145"
"84",84,88,10.2,-144.489395926,69.790370121,340.301910400391,"_69.5_-144"
"85",85,68,8.3,-143.155733926,70.049840121,161.124603271484,"_70_-143"
"86",86,86,9.8,-145.184177926,69.706670121,124.174011230469,"_69.5_-145"
"87",87,74,9.6,-144.649115926,69.915920121,413.973754882812,"_69.5_-144.5"
"88",88,93,10.4,-142.468937926,69.698300121,204.38053894043,"_69.5_-142"
"89",89,73,9.6,-145.942847926,69.924290121,335.957489013672,"_69.5_-145.5"
"90",90,68,9,-146.150483926,70.007990121,112.719573974609,"_70_-146"
"91",91,90,10.4,-144.281759926,69.748520121,319.9150390625,"_69.5_-144"
"92",92,87,9.8,-142.956083926,69.782000121,224.021286010742,"_69.5_-142.5"
"93",93,88,9.4,-141.247079926,69.572750121,127.770462036133,"_69.5_-141"
"94",94,71,9.1,-142.932125926,69.941030121,190.804168701172,"_69.5_-142.5"
"95",95,62,8.6,-145.998749926,70.058210121,70.9377212524414,"_70_-145.5"
"96",96,93,10.4,-141.877973926,69.631340121,195.281539916992,"_69.5_-141.5"
"97",97,84,9.9,-143.626907926,69.832220121,150.987396240234,"_69.5_-143.5"
"98",98,69,9.1,-144.281759926,70.016360121,412.33349609375,"_70_-144"
"99",99,84,9.2,-143.035943926,69.890810121,245.436950683594,"_69.5_-143"
"100",100,105,9.5,-144.074123926,69.430460121,555.503845214844,"_69_-144"
"101",101,98,10.2,-143.035943926,69.631340121,420.774475097656,"_69.5_-143"
"102",102,105,9.6,-144.058151926,69.447200121,492.275787353516,"_69_-144"
"103",103,102,9.5,-145.383827926,69.656450121,237.831558227539,"_69.5_-145"
"104",104,82,9.8,-142.373105926,69.832220121,95.4360733032227,"_69.5_-142"
"105",105,98,9.5,-144.736961926,69.731780121,238.765930175781,"_69.5_-144.5"
"106",106,124,8,-143.962319926,69.422090121,154.742813110352,"_69_-143.5"
"107",107,104,8.2,-145.160219926,69.664820121,123.727355957031,"_69.5_-145"
"108",108,89,10.2,-143.187677926,69.740150121,308.562774658203,"_69.5_-143"
"109",109,93,10.2,-143.091845926,69.673190121,555.703857421875,"_69.5_-143"
"110",110,112,7.3,-144.784877926,69.681560121,19.0514430999756,"_69.5_-144.5"
"111",111,71,9.2,-144.441479926,70.007990121,385.889892578125,"_70_-144"
"112",112,81,9.7,-145.878959926,69.832220121,386.267913818359,"_69.5_-145.5"
"113",113,107,8.3,-144.617171926,69.664820121,224.996978759766,"_69.5_-144.5"
"114",114,87,9.9,-143.267537926,69.798740121,233.477890014648,"_69.5_-143"
"115",115,82,10,-143.355383926,69.807110121,195.180801391602,"_69.5_-143"
"116",116,92,9.9,-144.010235926,69.463940121,201.960906982422,"_69_-144"
"117",117,96,10.7,-143.459201926,69.597860121,385.764587402344,"_69.5_-143"
"118",118,69,9,-144.098081926,70.024730121,205.031814575195,"_70_-144"
"119",119,79,9.5,-144.888695926,69.932660121,189.901809692383,"_69.5_-144.5"
"120",120,92,9.9,-145.950833926,69.673190121,463.845001220703,"_69.5_-145.5"
"121",121,91,10.1,-141.702281926,69.656450121,190.034515380859,"_69.5_-141.5"
"122",122,72,9.5,-145.447715926,69.974510121,246.723266601562,"_69.5_-145"
"123",123,87,10.4,-143.571005926,69.756890121,258.653198242188,"_69.5_-143.5"
"124",124,110,9.3,-143.578991926,69.489050121,638.689575195312,"_69_-143.5"
"125",125,96,9.6,-144.760919926,69.740150121,415.616973876953,"_69.5_-144.5"
"126",126,87,9.1,-141.111317926,69.514160121,525.949584960938,"_69.5_-141"
"127",127,72,9.5,-145.583477926,69.966140121,234.773422241211,"_69.5_-145.5"
"128",128,81,9.7,-143.563019926,69.865700121,172.319229125977,"_69.5_-143.5"
"129",129,102,9.7,-144.026207926,69.463940121,250.493087768555,"_69_-144"
"130",130,89,9.1,-141.111317926,69.564380121,156.039932250977,"_69.5_-141"
"131",131,74,8.7,-142.812335926,69.974510121,156.083389282227,"_69.5_-142.5"
"132",132,91,10.3,-144.345647926,69.556010121,340.830718994141,"_69.5_-144"
"133",133,88,10.5,-144.409535926,69.715040121,142.914657592773,"_69.5_-144"
"134",134,97,9.8,-145.743197926,69.664820121,491.671905517578,"_69.5_-145.5"
"135",135,87,10,-144.720989926,69.807110121,400.666473388672,"_69.5_-144.5"
"136",136,75,9.6,-144.353633926,69.941030121,448.120208740234,"_69.5_-144"
"137",137,101,10.2,-144.321689926,69.689930121,257.340423583984,"_69.5_-144"
"138",138,94,9.9,-145.687295926,69.723410121,315.340515136719,"_69.5_-145.5"
"139",139,73,9.5,-146.046665926,69.941030121,214.863647460938,"_69.5_-146"
"140",140,86,9.7,-141.654365926,69.723410121,81.5970077514648,"_69.5_-141.5"
"141",141,64,8.4,-143.467187926,70.058210121,162.519348144531,"_70_-143"
"142",142,75,9.7,-145.431743926,69.924290121,255.546615600586,"_69.5_-145"
"143",143,86,10,-145.775141926,69.740150121,306.977478027344,"_69.5_-145.5"
"144",144,99,10.5,-143.906417926,69.589490121,308.960205078125,"_69.5_-143.5"
"145",145,84,10.8,-144.345647926,69.514160121,305.386779785156,"_69.5_-144"
"146",146,74,8.6,-142.676573926,69.991250121,180.285888671875,"_69.5_-142.5"
"147",147,71,8.4,-142.764419926,70.024730121,174.722442626953,"_70_-142.5"
"148",148,101,9.4,-144.633143926,69.497420121,509.290924072266,"_69_-144.5"
"149",149,90,10.2,-143.091845926,69.698300121,361.665344238281,"_69.5_-143"
"150",150,83,10.1,-145.256051926,69.740150121,175.559188842773,"_69.5_-145"
"151",151,93,10.3,-142.468937926,69.715040121,302.638427734375,"_69.5_-142"
"152",152,79,9.4,-143.483159926,69.899180121,192.296936035156,"_69.5_-143"
"153",153,83,9.8,-146.046665926,69.773630121,360.326568603516,"_69.5_-146"
"154",154,85,10,-145.280009926,69.706670121,394.267333984375,"_69.5_-145"
"155",155,80,10,-144.896681926,69.840590121,219.628356933594,"_69.5_-144.5"
"156",156,84,9.8,-144.441479926,69.874070121,281.118133544922,"_69.5_-144"
"157",157,87,10,-143.227607926,69.773630121,114.031463623047,"_69.5_-143"
"158",158,81,10.1,-145.319939926,69.756890121,164.277954101562,"_69.5_-145"
"159",159,98,10.1,-144.329675926,69.673190121,291.799896240234,"_69.5_-144"
"160",160,99,10.5,-143.571005926,69.564380121,393.635009765625,"_69.5_-143.5"
"161",161,88,10.2,-141.949847926,69.723410121,109.240798950195,"_69.5_-141.5"
"162",162,88,9.8,-145.783127926,69.773630121,291.122802734375,"_69.5_-145.5"
"163",163,88,10.7,-143.698781926,69.689930121,380.670654296875,"_69.5_-143.5"
"164",164,82,9.8,-142.221371926,69.840590121,91.9684371948242,"_69.5_-142"
"165",165,69,8.8,-143.722739926,70.033100121,254.307220458984,"_70_-143.5"
"166",166,111,8.7,-144.800849926,69.463940121,432.349029541016,"_69_-144.5"
"167",167,74,9.3,-144.106067926,69.974510121,159.30224609375,"_69.5_-144"
"168",168,74,9.3,-143.666837926,69.957770121,264.118957519531,"_69.5_-143.5"
"169",169,93,10.3,-144.489395926,69.715040121,345.787261962891,"_69.5_-144"
"170",170,111,8.1,-144.952583926,69.447200121,239.183715820312,"_69_-144.5"
"171",171,77,9.7,-145.128275926,69.907550121,212.000564575195,"_69.5_-145"
"172",172,64,8.4,-143.602949926,70.074950121,144.492263793945,"_70_-143.5"
"173",173,89,9.9,-145.535561926,69.656450121,216.526763916016,"_69.5_-145.5"
"174",174,86,10.1,-143.754683926,69.489050121,349.600677490234,"_69_-143.5"
"175",175,91,9.7,-144.744947926,69.740150121,408.371429443359,"_69.5_-144.5"
"176",176,128,8.8,-143.778641926,69.455570121,434.567718505859,"_69_-143.5"
"177",177,82,9.7,-143.874473926,69.890810121,292.892822265625,"_69.5_-143.5"
"178",178,89,9.2,-141.199163926,69.564380121,169.450347900391,"_69.5_-141"
"179",179,115,9.5,-144.034193926,69.530900121,396.092498779297,"_69.5_-144"
"180",180,79,9.2,-142.636643926,69.907550121,131.020843505859,"_69.5_-142.5"
"181",181,91,10.5,-142.317203926,69.681560121,178.700836181641,"_69.5_-142"
"182",182,91,10.7,-143.578991926,69.664820121,253.274871826172,"_69.5_-143.5"
"183",183,66,8.5,-143.467187926,70.049840121,182.194946289062,"_70_-143"
"184",184,85,10.3,-144.425507926,69.798740121,159.400833129883,"_69.5_-144"
"185",185,74,9.2,-143.275523926,69.924290121,284.066650390625,"_69.5_-143"
"186",186,96,9.4,-144.713003926,69.698300121,384.529174804688,"_69.5_-144.5"
"187",187,85,10.3,-144.401549926,69.773630121,308.524261474609,"_69.5_-144"
"188",188,79,9.3,-143.459201926,69.915920121,131.361480712891,"_69.5_-143"
"189",189,77,9.5,-143.842529926,69.932660121,264.710052490234,"_69.5_-143.5"
"190",190,109,9.9,-144.297731926,69.606230121,253.569961547852,"_69.5_-144"
"191",191,103,8.2,-145.000499926,69.447200121,317.378936767578,"_69_-145"
"192",192,89,10.3,-141.598463926,69.597860121,274.129516601562,"_69.5_-141.5"
"193",193,85,10.4,-146.358119926,69.731780121,144.697875976562,"_69.5_-146"
"194",194,103,8.7,-145.974791926,69.622970121,134.278015136719,"_69.5_-145.5"
"195",195,82,9.6,-142.436993926,69.865700121,161.844909667969,"_69.5_-142"
"196",196,71,8.4,-142.780391926,70.024730121,262.148223876953,"_70_-142.5"
"197",197,95,10.1,-143.043929926,69.689930121,350.253723144531,"_69.5_-143"
"198",198,74,9.4,-144.393563926,69.982880121,209.330947875977,"_69.5_-144"
"199",199,86,9.4,-141.271037926,69.539270121,204.424880981445,"_69.5_-141"
"200",200,81,9.8,-146.006735926,69.790370121,380.355834960938,"_69.5_-146"
"201",201,127,9,-143.802599926,69.472310121,226.852447509766,"_69_-143.5"
"202",202,87,9.6,-145.295981926,69.664820121,224.094421386719,"_69.5_-145"
"203",203,93,10.5,-143.195663926,69.622970121,495.019317626953,"_69.5_-143"
"204",204,87,9.7,-142.860251926,69.807110121,217.153549194336,"_69.5_-142.5"
"205",205,93,10.3,-144.321689926,69.639710121,355.108276367188,"_69.5_-144"
"206",206,90,10.6,-143.427257926,69.715040121,410.727172851562,"_69.5_-143"
"207",207,71,9.2,-144.098081926,70.007990121,187.934280395508,"_70_-144"
"208",208,79,9.8,-143.946347926,69.882440121,273.967193603516,"_69.5_-143.5"
"209",209,77,9.7,-144.752933926,69.915920121,390.526153564453,"_69.5_-144.5"
"210",210,93,10.3,-141.814085926,69.648080121,145.419540405273,"_69.5_-141.5"
"211",211,82,9.3,-143.099831926,69.874070121,131.839645385742,"_69.5_-143"
"212",212,75,9.6,-145.870973926,69.924290121,410.642822265625,"_69.5_-145.5"
"213",213,79,9,-141.031457926,69.556010121,146.278137207031,"_69.5_-141"
"214",214,81,10.2,-145.383827926,69.731780121,163.021865844727,"_69.5_-145"
"215",215,101,10.2,-144.329675926,69.681560121,265.362609863281,"_69.5_-144"
"216",216,82,10.1,-144.026207926,69.823850121,253.134719848633,"_69.5_-144"
"217",217,75,9.8,-145.775141926,69.907550121,369.254028320312,"_69.5_-145.5"
"218",218,97,9.7,-146.006735926,69.673190121,363.438140869141,"_69.5_-146"
"219",219,79,9.4,-144.441479926,69.957770121,328.15087890625,"_69.5_-144"
"220",220,76,9.3,-143.555033926,69.932660121,212.440780639648,"_69.5_-143.5"
"221",221,74,9.7,-145.008485926,69.957770121,161.762878417969,"_69.5_-145"
"222",222,101,10.3,-142.836293926,69.614600121,390.181671142578,"_69.5_-142.5"
"223",223,93,10.4,-142.668587926,69.648080121,388.871185302734,"_69.5_-142.5"
"224",224,88,9.8,-141.622421926,69.689930121,189.307662963867,"_69.5_-141.5"
"225",225,91,9.9,-145.815071926,69.731780121,345.465881347656,"_69.5_-145.5"
"226",226,85,10.1,-144.641129926,69.823850121,375.861022949219,"_69.5_-144.5"
"227",227,73,9.5,-146.158469926,69.924290121,285.425598144531,"_69.5_-146"
"228",228,69,9,-144.130025926,70.033100121,237.709747314453,"_70_-144"
"229",229,84,10,-143.395313926,69.798740121,265.941925048828,"_69.5_-143"
"230",230,98,10.4,-142.660601926,69.622970121,395.522613525391,"_69.5_-142.5"
"231",231,79,9.9,-144.130025926,69.882440121,170.640716552734,"_69.5_-144"
"232",232,69,8.3,-142.764419926,70.041470121,221.105560302734,"_70_-142.5"
"233",233,93,10.5,-142.389077926,69.664820121,186.325592041016,"_69.5_-142"
"234",234,77,8.9,-142.804349926,69.932660121,148.845153808594,"_69.5_-142.5"
"235",235,83,9,-141.215135926,69.656450121,201.849349975586,"_69.5_-141"
"236",236,90,10.4,-144.042179926,69.756890121,268.310211181641,"_69.5_-144"
"237",237,88,10.4,-142.197413926,69.740150121,136.531219482422,"_69.5_-142"
"238",238,82,9.9,-143.978291926,69.848960121,284.590484619141,"_69.5_-143.5"
"239",239,86,9.9,-146.014721926,69.748520121,433.800445556641,"_69.5_-146"
"240",240,96,9.6,-145.447715926,69.748520121,368.041625976562,"_69.5_-145"
"241",241,93,10.7,-143.882459926,69.681560121,196.773147583008,"_69.5_-143.5"
"242",242,107,9.6,-143.091845926,69.505790121,1003.68438720703,"_69.5_-143"
"243",243,88,10.2,-144.513353926,69.790370121,381.141876220703,"_69.5_-144.5"
"244",244,87,10,-143.531075926,69.807110121,286.635559082031,"_69.5_-143.5"
"245",245,88,10.1,-141.806099926,69.698300121,113.498908996582,"_69.5_-141.5"
"246",246,91,10.4,-142.636643926,69.656450121,374.041442871094,"_69.5_-142.5"
"247",247,82,9.8,-143.547047926,69.848960121,135.623184204102,"_69.5_-143.5"
"248",248,76,9.7,-146.062637926,69.899180121,379.991088867188,"_69.5_-146"
"249",249,87,10.1,-143.259551926,69.773630121,213.874267578125,"_69.5_-143"
"250",250,94,10.2,-141.646379926,69.622970121,140.154449462891,"_69.5_-141.5"
"251",251,72,10,-144.649115926,69.882440121,252.524749755859,"_69.5_-144.5"
"252",252,88,9.8,-141.582491926,69.673190121,162.143295288086,"_69.5_-141.5"
"253",253,70,9.4,-145.982777926,69.957770121,259.634918212891,"_69.5_-145.5"
"254",254,96,8.8,-145.240079926,69.664820121,261.697662353516,"_69.5_-145"
"255",255,91,9.1,-141.175205926,69.556010121,194.321685791016,"_69.5_-141"
"256",256,126,8.6,-143.938361926,69.438830121,270.669677734375,"_69_-143.5"
"257",257,104,9.4,-144.665087926,69.530900121,479.061004638672,"_69.5_-144.5"
"258",258,88,10.2,-142.325189926,69.756890121,258.122192382812,"_69.5_-142"
"259",259,82,10.1,-144.497381926,69.840590121,360.124267578125,"_69.5_-144"
"260",260,66,8.7,-143.930375926,70.058210121,156.157012939453,"_70_-143.5"
"261",261,81,10.3,-145.815071926,69.715040121,328.039245605469,"_69.5_-145.5"
"262",262,69,8.6,-143.435243926,70.033100121,159.321502685547,"_70_-143"
"263",263,98,10.7,-143.499131926,69.614600121,329.709594726562,"_69.5_-143"
"264",264,68,8.5,-143.443229926,70.041470121,181.855010986328,"_70_-143"
"265",265,70,10,-144.824807926,69.882440121,294.241851806641,"_69.5_-144.5"
"266",266,62,8.5,-145.711253926,70.083320121,102.517692565918,"_70_-145.5"
"267",267,102,10.4,-143.515103926,69.530900121,382.158966064453,"_69.5_-143.5"
"268",268,74,9.8,-143.786627926,69.882440121,199.110549926758,"_69.5_-143.5"
"269",269,93,9.8,-144.736961926,69.765260121,344.144317626953,"_69.5_-144.5"
"270",270,74,9.5,-144.377591926,69.949400121,340.273986816406,"_69.5_-144"
"271",271,80,9.6,-144.832793926,69.915920121,223.633010864258,"_69.5_-144.5"
"272",272,74,9.1,-143.099831926,69.941030121,268.749298095703,"_69.5_-143"
"273",273,119,7.8,-144.880709926,69.380240121,161.661163330078,"_69_-144.5"
"274",274,88,9.9,-144.848765926,69.798740121,417.136291503906,"_69.5_-144.5"
"275",275,92,10.4,-141.614435926,69.572750121,299.713714599609,"_69.5_-141.5"
"276",276,89,9.8,-141.358883926,69.564380121,337.526245117188,"_69.5_-141"
"277",277,80,10.2,-144.393563926,69.832220121,172.51335144043,"_69.5_-144"
"278",278,90,10.2,-142.508867926,69.740150121,141.159072875977,"_69.5_-142.5"
"279",279,84,9.9,-146.030693926,69.731780121,433.613677978516,"_69.5_-146"
"280",280,89,10.3,-143.363369926,69.748520121,258.422515869141,"_69.5_-143"
"281",281,74,9.1,-142.620671926,69.941030121,171.139587402344,"_69.5_-142.5"
"282",282,96,10.4,-142.540811926,69.639710121,138.183944702148,"_69.5_-142.5"
"283",283,74,9.4,-144.074123926,69.966140121,130.913833618164,"_69.5_-144"
"284",284,89,10.2,-143.642879926,69.782000121,292.810424804688,"_69.5_-143.5"
"285",285,93,10.3,-142.780391926,69.673190121,156.993148803711,"_69.5_-142.5"
"286",286,70,9.5,-145.735211926,69.966140121,113.996955871582,"_69.5_-145.5"
"287",287,71,8.9,-143.555033926,69.991250121,243.147384643555,"_69.5_-143.5"
"288",288,82,9.6,-145.120289926,69.865700121,210.789947509766,"_69.5_-145"
"289",289,72,9.5,-145.503617926,69.966140121,334.67626953125,"_69.5_-145.5"
"290",290,71,8.4,-143.083859926,70.033100121,163.851699829102,"_70_-143"
"291",291,94,9.8,-145.894931926,69.706670121,333.587707519531,"_69.5_-145.5"
"292",292,72,9.7,-144.713003926,69.949400121,256.689178466797,"_69.5_-144.5"
"293",293,117,9,-144.425507926,69.530900121,250.212768554688,"_69.5_-144"
"294",294,98,10.3,-142.804349926,69.639710121,359.127471923828,"_69.5_-142.5"
"295",295,99,9.1,-144.824807926,69.706670121,417.519165039062,"_69.5_-144.5"
"296",296,77,9.6,-144.401549926,69.932660121,280.375579833984,"_69.5_-144"
"297",297,90,10,-142.716503926,69.748520121,180.008728027344,"_69.5_-142.5"
"298",298,77,9.2,-143.139761926,69.932660121,302.621551513672,"_69.5_-143"
"299",299,88,10.4,-144.193913926,69.765260121,113.433685302734,"_69.5_-144"
"300",300,93,10.2,-142.756433926,69.689930121,159.869018554688,"_69.5_-142.5"
"301",301,79,9.8,-143.954333926,69.882440121,227.978546142578,"_69.5_-143.5"
"302",302,90,10.6,-143.586977926,69.715040121,84.1996536254883,"_69.5_-143.5"
"303",303,110,9.4,-141.654365926,69.547640121,385,"_69.5_-141.5"
"304",304,82,9.9,-143.459201926,69.832220121,331.321166992188,"_69.5_-143"
"305",305,84,9.5,-142.940111926,69.848960121,118.393173217773,"_69.5_-142.5"
"306",306,80,9.8,-146.302217926,69.782000121,207.685699462891,"_69.5_-146"
"307",307,96,10.5,-142.468937926,69.656450121,162.671569824219,"_69.5_-142"
"308",308,109,10.1,-144.098081926,69.648080121,338.305755615234,"_69.5_-144"
"309",309,87,9.6,-145.503617926,69.798740121,440.748504638672,"_69.5_-145.5"
"310",310,89,9.8,-145.974791926,69.715040121,415.548309326172,"_69.5_-145.5"
"311",311,88,10.2,-141.949847926,69.715040121,110.544151306152,"_69.5_-141.5"
"312",312,96,10.7,-143.443229926,69.597860121,377.276947021484,"_69.5_-143"
"313",313,90,10.2,-144.505367926,69.756890121,243.66455078125,"_69.5_-144.5"
"314",314,103,10.3,-144.106067926,69.681560121,300.043640136719,"_69.5_-144"
"315",315,86,10.5,-146.214371926,69.664820121,265.83447265625,"_69.5_-146"
"316",316,95,9.7,-145.663337926,69.656450121,187.607574462891,"_69.5_-145.5"
"317",317,69,8.4,-143.171705926,70.041470121,141.792739868164,"_70_-143"
"318",318,66,8.5,-143.634893926,70.058210121,137.110000610352,"_70_-143.5"
"319",319,109,10.3,-143.339411926,69.522530121,714.244506835938,"_69.5_-143"
"320",320,82,9.8,-143.555033926,69.848960121,177.1689453125,"_69.5_-143.5"
"321",321,96,10.2,-143.051915926,69.648080121,382.759368896484,"_69.5_-143"
"322",322,93,9.9,-144.609185926,69.706670121,264.593048095703,"_69.5_-144.5"
"323",323,85,9.9,-144.744947926,69.840590121,319.110046386719,"_69.5_-144.5"
"324",324,89,10,-145.671323926,69.689930121,328.583068847656,"_69.5_-145.5"
"325",325,82,9.7,-145.056401926,69.882440121,357.150939941406,"_69.5_-145"
"326",326,102,9.9,-144.002249926,69.539270121,256.227783203125,"_69.5_-144"
"327",327,89,10.4,-144.305717926,69.547640121,236.269729614258,"_69.5_-144"
"328",328,89,10.3,-143.275523926,69.740150121,185.055191040039,"_69.5_-143"
"329",329,71,9.2,-143.858501926,69.982880121,210.529220581055,"_69.5_-143.5"
"330",330,86,9.6,-146.158469926,69.773630121,409.721282958984,"_69.5_-146"
"331",331,74,9.4,-143.842529926,69.949400121,177.473007202148,"_69.5_-143.5"
"332",332,93,10.3,-141.846029926,69.639710121,111.334686279297,"_69.5_-141.5"
"333",333,117,9,-144.217871926,69.539270121,397.870025634766,"_69.5_-144"
"334",334,67,9.2,-145.519589926,70.016360121,153.057952880859,"_70_-145.5"
